typeName,typeID,groupName,maxProductionLimit,basePrice,published,buildTime,outputQuantity,productName,productID,productGroup4Name,productGroup3Name,productGroup2Name,productGroup1Name,productGroup0Name
Dromi I Blueprint,41373,Support Fighter Blueprint,50,300000000,1,9000,1,Dromi I,40347,Drones,Fighters,Carrier-based Fighters,Support Fighters,
Dromi II Blueprint,41374,Support Fighter Blueprint,10,300000000,1,9000,1,Dromi II,40571,Drones,Fighters,Carrier-based Fighters,Support Fighters,
Standup Shadow Blueprint,47232,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Shadow,47123,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Cyclops I Blueprint,47233,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Cyclops I,47117,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Malleus I Blueprint,47234,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Malleus I,47116,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Tyrfing I Blueprint,47235,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Tyrfing I,47118,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Mantis I Blueprint,47236,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Mantis I,47038,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Cyclops II Blueprint,47237,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Cyclops II,47121,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Malleus II Blueprint,47238,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Malleus II,47119,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Mantis II Blueprint,47239,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Mantis II,47120,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Tyrfing II Blueprint,47240,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Tyrfing II,47122,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Ametat I Blueprint,47241,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Ametat I,47124,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Ametat II Blueprint,47242,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Ametat II,47127,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Termite I Blueprint,47243,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Termite I,47125,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Termite II Blueprint,47244,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Termite II,47128,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Antaeus I Blueprint,47245,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Antaeus I,47126,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Antaeus II Blueprint,47246,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Antaeus II,47129,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Gungnir I Blueprint,47247,Heavy Fighter Blueprint,50,300000000,1,9000,1,Standup Gungnir I,47039,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Gungnir II Blueprint,47248,Heavy Fighter Blueprint,10,300000000,1,9000,1,Standup Gungnir II,47130,Drones,Fighters,Structure-based Fighters,Standup Heavy Fighters,
Standup Templar I Blueprint,47208,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Templar I,47035,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Dragonfly I Blueprint,47209,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Dragonfly I,47138,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Firbolg I Blueprint,47210,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Firbolg I,47139,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Einherji I Blueprint,47211,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Einherji I,47140,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Templar II Blueprint,47212,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Templar II,47141,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Equite I Blueprint,47213,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Equite I,47145,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Equite II Blueprint,47214,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Equite II,47148,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Dragonfly II Blueprint,47215,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Dragonfly II,47142,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Locust I Blueprint,47216,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Locust I,47146,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Locust II Blueprint,47217,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Locust II,47149,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Firbolg II Blueprint,47218,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Firbolg II,47143,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Satyr I Blueprint,47219,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Satyr I,47147,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Satyr II Blueprint,47220,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Satyr II,47150,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Einherji II Blueprint,47221,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Einherji II,47144,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Gram I Blueprint,47222,Light Fighter Blueprint,50,200000000,1,9000,1,Standup Gram I,47036,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Gram II Blueprint,47223,Light Fighter Blueprint,10,200000000,1,9000,1,Standup Gram II,47151,Drones,Fighters,Structure-based Fighters,Standup Light Fighters,
Standup Cenobite I Blueprint,47224,Support Fighter Blueprint,50,300000000,1,9000,1,Standup Cenobite I,47131,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Cenobite II Blueprint,47225,Support Fighter Blueprint,10,300000000,1,9000,1,Standup Cenobite II,47134,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Scarab I Blueprint,47226,Support Fighter Blueprint,50,300000000,1,9000,1,Standup Scarab I,47132,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Scarab II Blueprint,47227,Support Fighter Blueprint,10,300000000,1,9000,1,Standup Scarab II,47135,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Siren I Blueprint,47228,Support Fighter Blueprint,50,300000000,1,9000,1,Standup Siren I,47037,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Siren II Blueprint,47229,Support Fighter Blueprint,10,300000000,1,9000,1,Standup Siren II,47136,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Dromi I Blueprint,47230,Support Fighter Blueprint,50,300000000,1,9000,1,Standup Dromi I,47133,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standup Dromi II Blueprint,47231,Support Fighter Blueprint,10,300000000,1,9000,1,Standup Dromi II,47137,Drones,Fighters,Structure-based Fighters,Standup Support Fighters,
Standard Blue Pill Booster Blueprint,25303,Booster Blueprints,300,NULL,1,600,1,Standard Blue Pill Booster,9950,Implants & Boosters,Booster,Booster Slot 01,Blue Pill,
Improved Blue Pill Booster Blueprint,25307,Booster Blueprints,200,NULL,1,900,1,Improved Blue Pill Booster,10155,Implants & Boosters,Booster,Booster Slot 01,Blue Pill,
Strong Blue Pill Booster Blueprint,25308,Booster Blueprints,100,NULL,1,1200,1,Strong Blue Pill Booster,10156,Implants & Boosters,Booster,Booster Slot 01,Blue Pill,
Synth Blue Pill Booster Blueprint,28671,Booster Blueprints,600,1000000,1,300,1,Synth Blue Pill Booster,28670,Implants & Boosters,Booster,Booster Slot 01,Blue Pill,
Synth Exile Booster Blueprint,28677,Booster Blueprints,600,1000000,1,300,1,Synth Exile Booster,28676,Implants & Boosters,Booster,Booster Slot 01,Exile,
Improved Exile Booster Blueprint,25504,Booster Blueprints,200,NULL,1,900,1,Improved Exile Booster,15480,Implants & Boosters,Booster,Booster Slot 01,Exile,
Standard Exile Booster Blueprint,25508,Booster Blueprints,300,NULL,1,600,1,Standard Exile Booster,15479,Implants & Boosters,Booster,Booster Slot 01,Exile,
Strong Exile Booster Blueprint,25539,Booster Blueprints,100,NULL,1,1200,1,Strong Exile Booster,25349,Implants & Boosters,Booster,Booster Slot 01,Exile,
Standard Mindflood Booster Blueprint,25323,Booster Blueprints,300,NULL,1,600,1,Standard Mindflood Booster,15463,Implants & Boosters,Booster,Booster Slot 01,Mindflood,
Improved Mindflood Booster Blueprint,25506,Booster Blueprints,200,NULL,1,900,1,Improved Mindflood Booster,15464,Implants & Boosters,Booster,Booster Slot 01,Mindflood,
Strong Mindflood Booster Blueprint,25511,Booster Blueprints,100,NULL,1,1200,1,Strong Mindflood Booster,15465,Implants & Boosters,Booster,Booster Slot 01,Mindflood,
Synth Mindflood Booster Blueprint,28681,Booster Blueprints,600,1000000,1,300,1,Synth Mindflood Booster,28680,Implants & Boosters,Booster,Booster Slot 01,Mindflood,
Synth X-Instinct Booster Blueprint,28683,Booster Blueprints,600,1000000,1,300,1,Synth X-Instinct Booster,28682,Implants & Boosters,Booster,Booster Slot 01,X-Instinct,
Improved X-Instinct Booster Blueprint,25503,Booster Blueprints,200,NULL,1,900,1,Improved X-Instinct Booster,15458,Implants & Boosters,Booster,Booster Slot 01,X-Instinct,
Standard X-Instinct Booster Blueprint,25510,Booster Blueprints,300,NULL,1,600,1,Standard X-Instinct Booster,15457,Implants & Boosters,Booster,Booster Slot 01,X-Instinct,
Strong X-Instinct Booster Blueprint,25513,Booster Blueprints,100,NULL,1,1200,1,Strong X-Instinct Booster,15459,Implants & Boosters,Booster,Booster Slot 01,X-Instinct,
Standard Drop Booster Blueprint,25327,Booster Blueprints,300,NULL,1,600,1,Standard Drop Booster,15466,Implants & Boosters,Booster,Booster Slot 02,Drop,
Improved Drop Booster Blueprint,25328,Booster Blueprints,200,NULL,1,900,1,Improved Drop Booster,15477,Implants & Boosters,Booster,Booster Slot 02,Drop,
Strong Drop Booster Blueprint,25329,Booster Blueprints,100,NULL,1,1200,1,Strong Drop Booster,15478,Implants & Boosters,Booster,Booster Slot 02,Drop,
Synth Drop Booster Blueprint,28675,Booster Blueprints,600,1000000,1,300,1,Synth Drop Booster,28674,Implants & Boosters,Booster,Booster Slot 02,Drop,
Synth Frentix Booster Blueprint,28679,Booster Blueprints,600,1000000,1,300,1,Synth Frentix Booster,28678,Implants & Boosters,Booster,Booster Slot 02,Frentix,
Strong Frentix Booster Blueprint,25322,Booster Blueprints,100,NULL,1,1200,1,Strong Frentix Booster,15462,Implants & Boosters,Booster,Booster Slot 02,Frentix,
Improved Frentix Booster Blueprint,25505,Booster Blueprints,200,NULL,1,900,1,Improved Frentix Booster,15461,Implants & Boosters,Booster,Booster Slot 02,Frentix,
Standard Frentix Booster Blueprint,25509,Booster Blueprints,300,NULL,1,600,1,Standard Frentix Booster,15460,Implants & Boosters,Booster,Booster Slot 02,Frentix,
Standard Sooth Sayer Booster Blueprint,25314,Booster Blueprints,300,NULL,1,600,1,Standard Sooth Sayer Booster,10164,Implants & Boosters,Booster,Booster Slot 02,Sooth Sayer,
Improved Sooth Sayer Booster Blueprint,25507,Booster Blueprints,200,NULL,1,900,1,Improved Sooth Sayer Booster,10165,Implants & Boosters,Booster,Booster Slot 02,Sooth Sayer,
Strong Sooth Sayer Booster Blueprint,25512,Booster Blueprints,100,NULL,1,1200,1,Strong Sooth Sayer Booster,10166,Implants & Boosters,Booster,Booster Slot 02,Sooth Sayer,
Synth Sooth Sayer Booster Blueprint,28685,Booster Blueprints,600,1000000,1,300,1,Synth Sooth Sayer Booster,28684,Implants & Boosters,Booster,Booster Slot 02,Sooth Sayer,
Synth Crash Booster Blueprint,28673,Booster Blueprints,600,1000000,1,300,1,Synth Crash Booster,28672,Implants & Boosters,Booster,Booster Slot 03,Crash,
Standard Crash Booster Blueprint,25309,Booster Blueprints,300,NULL,1,600,1,Standard Crash Booster,9947,Implants & Boosters,Booster,Booster Slot 03,Crash,
Improved Crash Booster Blueprint,25310,Booster Blueprints,200,NULL,1,900,1,Improved Crash Booster,10151,Implants & Boosters,Booster,Booster Slot 03,Crash,
Strong Crash Booster Blueprint,25311,Booster Blueprints,100,NULL,1,1200,1,Strong Crash Booster,10152,Implants & Boosters,Booster,Booster Slot 03,Crash,
Low-grade Mimesis Alpha Blueprint,52684,Implant Blueprints,30,NULL,1,6000,1,Low-grade Mimesis Alpha,52674,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Mimesis Alpha Blueprint,52791,Implant Blueprints,30,NULL,1,9000,1,Mid-grade Mimesis Alpha,52785,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Mimesis Alpha Blueprint,52972,Implant Blueprints,30,NULL,1,9000,1,High-grade Mimesis Alpha,52917,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Nirvana Alpha Blueprint,53722,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Nirvana Alpha,53704,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Nirvana Alpha Blueprint,53728,Implant Blueprints,20,NULL,1,9000,1,High-grade Nirvana Alpha,53710,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Low-grade Nirvana Alpha Blueprint,53859,Implant Blueprints,30,NULL,1,6000,1,Low-grade Nirvana Alpha,53853,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Savior Alpha Blueprint,53908,Implant Blueprints,20,NULL,1,9000,1,High-grade Savior Alpha,53890,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Savior Alpha Blueprint,53914,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Savior Alpha,53896,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Low-grade Savior Alpha Blueprint,53920,Implant Blueprints,30,NULL,1,6000,1,Low-grade Savior Alpha,53902,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Hydra Alpha Blueprint,54410,Implant Blueprints,20,NULL,1,9000,1,High-grade Hydra Alpha,54392,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Hydra Alpha Blueprint,54416,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Hydra Alpha,54398,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Low-grade Hydra Alpha Blueprint,54422,Implant Blueprints,30,NULL,1,6000,1,Low-grade Hydra Alpha,54404,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Rapture Alpha Blueprint,57134,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Rapture Alpha,57117,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Low-grade Rapture Alpha Blueprint,57129,Implant Blueprints,30,NULL,1,6000,1,Low-grade Rapture Alpha,57110,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Rapture Alpha Blueprint,57140,Implant Blueprints,20,NULL,1,9000,1,High-grade Rapture Alpha,57123,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Ascendancy Alpha Blueprint,33536,Implant Blueprints,20,NULL,1,9000,1,High-grade Ascendancy Alpha,33516,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
Mid-grade Ascendancy Alpha Blueprint,33556,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Ascendancy Alpha,33555,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 01,
High-grade Ascendancy Beta Blueprint,33543,Implant Blueprints,20,NULL,1,9000,1,High-grade Ascendancy Beta,33525,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Ascendancy Beta Blueprint,33558,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Ascendancy Beta,33557,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Rapture Beta Blueprint,57130,Implant Blueprints,30,NULL,1,6000,1,Low-grade Rapture Beta,57111,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Rapture Beta Blueprint,57135,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Rapture Beta,57118,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
High-grade Rapture Beta Blueprint,57142,Implant Blueprints,20,NULL,1,9000,1,High-grade Rapture Beta,57124,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Mimesis Beta Blueprint,52685,Implant Blueprints,30,NULL,1,6000,1,Low-grade Mimesis Beta,52679,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Mimesis Beta Blueprint,52792,Implant Blueprints,30,NULL,1,9000,1,Mid-grade Mimesis Beta,52786,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
High-grade Mimesis Beta Blueprint,52974,Implant Blueprints,30,NULL,1,9000,1,High-grade Mimesis Beta,52918,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Nirvana Beta Blueprint,53723,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Nirvana Beta,53705,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
High-grade Nirvana Beta Blueprint,53729,Implant Blueprints,20,NULL,1,9000,1,High-grade Nirvana Beta,53711,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Nirvana Beta Blueprint,53860,Implant Blueprints,30,NULL,1,6000,1,Low-grade Nirvana Beta,53854,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
High-grade Savior Beta Blueprint,53909,Implant Blueprints,20,NULL,1,9000,1,High-grade Savior Beta,53891,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Savior Beta Blueprint,53915,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Savior Beta,53897,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Savior Beta Blueprint,53921,Implant Blueprints,30,NULL,1,6000,1,Low-grade Savior Beta,53903,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
High-grade Hydra Beta Blueprint,54411,Implant Blueprints,20,NULL,1,9000,1,High-grade Hydra Beta,54393,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Mid-grade Hydra Beta Blueprint,54417,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Hydra Beta,54399,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Hydra Beta Blueprint,54423,Implant Blueprints,30,NULL,1,6000,1,Low-grade Hydra Beta,54405,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 02,
Low-grade Mimesis Gamma Blueprint,52686,Implant Blueprints,30,NULL,1,6000,1,Low-grade Mimesis Gamma,52680,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Mimesis Gamma Blueprint,52795,Implant Blueprints,30,NULL,1,9000,1,Mid-grade Mimesis Gamma,52787,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Mimesis Gamma Blueprint,52977,Implant Blueprints,30,NULL,1,9000,1,High-grade Mimesis Gamma,52921,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Nirvana Gamma Blueprint,53726,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Nirvana Gamma,53708,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Nirvana Gamma Blueprint,53732,Implant Blueprints,20,NULL,1,9000,1,High-grade Nirvana Gamma,53715,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Low-grade Nirvana Gamma Blueprint,53863,Implant Blueprints,30,NULL,1,6000,1,Low-grade Nirvana Gamma,53855,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Savior Gamma Blueprint,53910,Implant Blueprints,20,NULL,1,9000,1,High-grade Savior Gamma,53892,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Savior Gamma Blueprint,53916,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Savior Gamma,53898,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Low-grade Savior Gamma Blueprint,53922,Implant Blueprints,30,NULL,1,6000,1,Low-grade Savior Gamma,53904,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Hydra Gamma Blueprint,54412,Implant Blueprints,20,NULL,1,9000,1,High-grade Hydra Gamma,54394,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Hydra Gamma Blueprint,54418,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Hydra Gamma,54400,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Low-grade Hydra Gamma Blueprint,54424,Implant Blueprints,30,NULL,1,6000,1,Low-grade Hydra Gamma,54406,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Rapture Gamma Blueprint,57143,Implant Blueprints,20,NULL,1,9000,1,High-grade Rapture Gamma,57125,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Low-grade Rapture Gamma Blueprint,57131,Implant Blueprints,30,NULL,1,6000,1,Low-grade Rapture Gamma,57112,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Rapture Gamma Blueprint,57136,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Rapture Gamma,57119,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Ascendancy Gamma Blueprint,33545,Implant Blueprints,20,NULL,1,9000,1,High-grade Ascendancy Gamma,33528,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
Mid-grade Ascendancy Gamma Blueprint,33564,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Ascendancy Gamma,33563,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 03,
High-grade Ascendancy Delta Blueprint,33547,Implant Blueprints,20,NULL,1,9000,1,High-grade Ascendancy Delta,33526,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Ascendancy Delta Blueprint,33560,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Ascendancy Delta,33559,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Rapture Delta Blueprint,57132,Implant Blueprints,30,NULL,1,6000,1,Low-grade Rapture Delta,57113,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
High-grade Rapture Delta Blueprint,57144,Implant Blueprints,20,NULL,1,9000,1,High-grade Rapture Delta,57126,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Rapture Delta Blueprint,57137,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Rapture Delta,57120,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Mimesis Delta Blueprint,52687,Implant Blueprints,30,NULL,1,6000,1,Low-grade Mimesis Delta,52681,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Mimesis Delta Blueprint,52793,Implant Blueprints,30,NULL,1,9000,1,Mid-grade Mimesis Delta,52788,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
High-grade Mimesis Delta Blueprint,52975,Implant Blueprints,30,NULL,1,9000,1,High-grade Mimesis Delta,52919,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Nirvana Delta Blueprint,53724,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Nirvana Delta,53706,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
High-grade Nirvana Delta Blueprint,53730,Implant Blueprints,20,NULL,1,9000,1,High-grade Nirvana Delta,53712,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Nirvana Delta Blueprint,53861,Implant Blueprints,30,NULL,1,6000,1,Low-grade Nirvana Delta,53856,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
High-grade Savior Delta Blueprint,53911,Implant Blueprints,20,NULL,1,9000,1,High-grade Savior Delta,53893,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Savior Delta Blueprint,53917,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Savior Delta,53899,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Savior Delta Blueprint,53923,Implant Blueprints,30,NULL,1,6000,1,Low-grade Savior Delta,53905,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
High-grade Hydra Delta Blueprint,54413,Implant Blueprints,20,NULL,1,9000,1,High-grade Hydra Delta,54395,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Mid-grade Hydra Delta Blueprint,54419,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Hydra Delta,54401,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Hydra Delta Blueprint,54425,Implant Blueprints,30,NULL,1,6000,1,Low-grade Hydra Delta,54407,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 04,
Low-grade Mimesis Epsilon Blueprint,52688,Implant Blueprints,30,NULL,1,6000,1,Low-grade Mimesis Epsilon,52682,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Mid-grade Mimesis Epsilon Blueprint,52794,Implant Blueprints,30,NULL,1,9000,1,Mid-grade Mimesis Epsilon,52789,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
High-grade Mimesis Epsilon Blueprint,52976,Implant Blueprints,30,NULL,1,9000,1,High-grade Mimesis Epsilon,52920,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Mid-grade Nirvana Epsilon Blueprint,53725,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Nirvana Epsilon,53707,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
High-grade Nirvana Epsilon Blueprint,53731,Implant Blueprints,20,NULL,1,9000,1,High-grade Nirvana Epsilon,53713,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Low-grade Nirvana Epsilon Blueprint,53862,Implant Blueprints,30,NULL,1,6000,1,Low-grade Nirvana Epsilon,53857,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
High-grade Savior Epsilon Blueprint,53912,Implant Blueprints,20,NULL,1,9000,1,High-grade Savior Epsilon,53894,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Mid-grade Savior Epsilon Blueprint,53918,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Savior Epsilon,53900,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Low-grade Savior Epsilon Blueprint,53924,Implant Blueprints,30,NULL,1,6000,1,Low-grade Savior Epsilon,53906,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
High-grade Hydra Epsilon Blueprint,54414,Implant Blueprints,20,NULL,1,9000,1,High-grade Hydra Epsilon,54396,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
Mid-grade Hydra Epsilon Blueprint,54420,Implant Blueprints,30,NULL,1,6000,1,Mid-grade Hydra Epsilon,54402,Implants & Boosters,Implants,Attribute Enhancers,Implant Slot 05,
