typeName,meterialTypeName,materialQuantity
"Eos Blueprint","R.A.M.- Starship Tech",23
"Eos Blueprint","Ion Thruster",120
"Eos Blueprint","Crystalline Carbonide Armor Plate",10500
"Eos Blueprint","Fusion Reactor Unit",53
"Eos Blueprint",Myrmidon,1
"Sleipnir Blueprint","Plasma Thruster",120
"Sleipnir Blueprint",Morphite,300
"Sleipnir Blueprint","Fernite Carbide Composite Armor Plate",11250
"Sleipnir Blueprint","Ladar Sensor Cluster",450
"Sleipnir Blueprint","Nanomechanical Microprocessor",1800
"Sleipnir Blueprint","Deflection Shield Emitter",570
"Sleipnir Blueprint","Construction Blocks",300
"Sleipnir Blueprint","R.A.M.- Starship Tech",23
"Sleipnir Blueprint","Nuclear Reactor Unit",60
"Sleipnir Blueprint",Hurricane,1
"Sleipnir Blueprint","Electrolytic Capacitor Unit",975
"Vulture Blueprint","Scalar Capacitor Unit",900
"Vulture Blueprint",Morphite,300
"Vulture Blueprint","Magpulse Thruster",120
"Vulture Blueprint","Gravimetric Sensor Cluster",495
"Vulture Blueprint",Ferox,1
"Vulture Blueprint","Construction Blocks",375
"Vulture Blueprint","R.A.M.- Starship Tech",23
"Vulture Blueprint","Titanium Diborite Armor Plate",10500
"Vulture Blueprint","Quantum Microprocessor",2100
"Vulture Blueprint","Sustained Shield Emitter",600
"Vulture Blueprint","Graviton Reactor Unit",53
"Absolution Blueprint",Morphite,300
"Absolution Blueprint","Fusion Thruster",120
"Absolution Blueprint","Tesseract Capacitor Unit",975
"Absolution Blueprint","Radar Sensor Cluster",450
"Absolution Blueprint","Nanoelectrical Microprocessor",1800
"Absolution Blueprint","Construction Blocks",300
"Absolution Blueprint","R.A.M.- Starship Tech",23
"Absolution Blueprint","Tungsten Carbide Armor Plate",11250
"Absolution Blueprint",Harbinger,1
"Absolution Blueprint","Antimatter Reactor Unit",60
"Absolution Blueprint","Linear Shield Emitter",570
"Heretic Blueprint","Fusion Thruster",60
"Heretic Blueprint",Morphite,15
"Heretic Blueprint",Coercer,1
"Heretic Blueprint","Tesseract Capacitor Unit",150
"Heretic Blueprint","Radar Sensor Cluster",75
"Heretic Blueprint","Nanoelectrical Microprocessor",360
"Heretic Blueprint","Construction Blocks",23
"Heretic Blueprint","R.A.M.- Starship Tech",9
"Heretic Blueprint","Tungsten Carbide Armor Plate",1500
"Heretic Blueprint","Antimatter Reactor Unit",15
"Heretic Blueprint","Linear Shield Emitter",38
"Sabre Blueprint","Plasma Thruster",60
"Sabre Blueprint",Morphite,15
"Sabre Blueprint","Nanomechanical Microprocessor",360
"Sabre Blueprint","Fernite Carbide Composite Armor Plate",1500
"Sabre Blueprint","Ladar Sensor Cluster",75
"Sabre Blueprint",Thrasher,1
"Sabre Blueprint","Deflection Shield Emitter",38
"Sabre Blueprint","Construction Blocks",23
"Sabre Blueprint","R.A.M.- Starship Tech",9
"Sabre Blueprint","Nuclear Reactor Unit",15
"Sabre Blueprint","Electrolytic Capacitor Unit",150
"Eris Blueprint","Oscillator Capacitor Unit",150
"Eris Blueprint",Morphite,15
"Eris Blueprint","Pulse Shield Emitter",38
"Eris Blueprint","Magnetometric Sensor Cluster",75
"Eris Blueprint",Catalyst,1
"Eris Blueprint","Construction Blocks",23
"Eris Blueprint","Photon Microprocessor",360
"Eris Blueprint","R.A.M.- Starship Tech",9
"Eris Blueprint","Ion Thruster",60
"Eris Blueprint","Crystalline Carbonide Armor Plate",1500
"Eris Blueprint","Fusion Reactor Unit",15
"Flycatcher Blueprint","Scalar Capacitor Unit",150
"Flycatcher Blueprint",Morphite,15
"Flycatcher Blueprint","Magpulse Thruster",60
"Flycatcher Blueprint",Cormorant,1
"Flycatcher Blueprint","Construction Blocks",23
"Flycatcher Blueprint","Gravimetric Sensor Cluster",75
"Flycatcher Blueprint","R.A.M.- Starship Tech",9
"Flycatcher Blueprint","Titanium Diborite Armor Plate",1500
"Flycatcher Blueprint","Quantum Microprocessor",360
"Flycatcher Blueprint","Sustained Shield Emitter",38
"Flycatcher Blueprint","Graviton Reactor Unit",15
"Astarte Blueprint","Oscillator Capacitor Unit",975
"Astarte Blueprint",Brutix,1
"Astarte Blueprint",Morphite,300
"Astarte Blueprint","Pulse Shield Emitter",570
"Astarte Blueprint","Magnetometric Sensor Cluster",450
"Astarte Blueprint","Construction Blocks",375
"Astarte Blueprint","Photon Microprocessor",1800
"Astarte Blueprint","R.A.M.- Starship Tech",23
"Astarte Blueprint","Ion Thruster",120
"Astarte Blueprint","Crystalline Carbonide Armor Plate",11250
"Astarte Blueprint","Fusion Reactor Unit",60
"Claymore Blueprint",Cyclone,1
"Claymore Blueprint","Nuclear Reactor Unit",53
"Claymore Blueprint","Plasma Thruster",120
"Claymore Blueprint","Fernite Carbide Composite Armor Plate",10500
"Claymore Blueprint","Ladar Sensor Cluster",495
"Claymore Blueprint","Nanomechanical Microprocessor",2100
"Claymore Blueprint","Deflection Shield Emitter",600
"Claymore Blueprint","Construction Blocks",375
"Claymore Blueprint","R.A.M.- Starship Tech",23
"Claymore Blueprint",Morphite,300
"Claymore Blueprint","Electrolytic Capacitor Unit",900
"Nighthawk Blueprint","Scalar Capacitor Unit",975
"Nighthawk Blueprint",Morphite,300
"Nighthawk Blueprint","Magpulse Thruster",120
"Nighthawk Blueprint","Gravimetric Sensor Cluster",450
"Nighthawk Blueprint","Construction Blocks",300
"Nighthawk Blueprint","R.A.M.- Starship Tech",23
"Nighthawk Blueprint","Titanium Diborite Armor Plate",11250
"Nighthawk Blueprint","Quantum Microprocessor",1800
"Nighthawk Blueprint",Drake,1
"Nighthawk Blueprint","Sustained Shield Emitter",570
"Nighthawk Blueprint","Graviton Reactor Unit",60
"Damnation Blueprint",Prophecy,1
"Damnation Blueprint",Morphite,300
"Damnation Blueprint","Fusion Thruster",120
"Damnation Blueprint","Tesseract Capacitor Unit",900
"Damnation Blueprint","Radar Sensor Cluster",495
"Damnation Blueprint","Nanoelectrical Microprocessor",2100
"Damnation Blueprint","Construction Blocks",375
"Damnation Blueprint","R.A.M.- Starship Tech",23
"Damnation Blueprint","Tungsten Carbide Armor Plate",10500
"Damnation Blueprint","Antimatter Reactor Unit",53
"Damnation Blueprint","Linear Shield Emitter",600
"Mining Laser Upgrade I Blueprint",Megacyte,2
"Mining Laser Upgrade I Blueprint",Tritanium,676
"Mining Laser Upgrade I Blueprint",Mexallon,318
"Mining Laser Upgrade I Blueprint",Isogen,2
"Mining Laser Upgrade I Blueprint",Zydrine,6
"Hulk Blueprint","Construction Blocks",150
"Hulk Blueprint",Morphite,110
"Hulk Blueprint","R.A.M.- Starship Tech",15
"Hulk Blueprint","Ion Thruster",60
"Hulk Blueprint","Magnetometric Sensor Cluster",225
"Hulk Blueprint","Photon Microprocessor",3000
"Hulk Blueprint","Crystalline Carbonide Armor Plate",3000
"Hulk Blueprint","Fusion Reactor Unit",45
"Hulk Blueprint","Oscillator Capacitor Unit",600
"Hulk Blueprint","Pulse Shield Emitter",225
"Hulk Blueprint",Covetor,1
"Skiff Blueprint","Construction Blocks",150
"Skiff Blueprint",Morphite,110
"Skiff Blueprint","R.A.M.- Starship Tech",15
"Skiff Blueprint","Ion Thruster",60
"Skiff Blueprint","Magnetometric Sensor Cluster",225
"Skiff Blueprint","Photon Microprocessor",3000
"Skiff Blueprint","Crystalline Carbonide Armor Plate",3000
"Skiff Blueprint","Fusion Reactor Unit",45
"Skiff Blueprint","Oscillator Capacitor Unit",600
"Skiff Blueprint","Pulse Shield Emitter",225
"Skiff Blueprint",Procurer,1
"Mackinaw Blueprint","Construction Blocks",150
"Mackinaw Blueprint",Morphite,110
"Mackinaw Blueprint","R.A.M.- Starship Tech",15
"Mackinaw Blueprint","Ion Thruster",60
"Mackinaw Blueprint","Magnetometric Sensor Cluster",225
"Mackinaw Blueprint","Photon Microprocessor",3000
"Mackinaw Blueprint","Crystalline Carbonide Armor Plate",3000
"Mackinaw Blueprint","Fusion Reactor Unit",45
"Mackinaw Blueprint","Oscillator Capacitor Unit",600
"Mackinaw Blueprint","Pulse Shield Emitter",225
"Mackinaw Blueprint",Retriever,1
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint",Megacyte,22
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint",Tritanium,949
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint","Synthetic Synapses",3
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint",Isogen,111
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint",Nocxium,56
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint",Megacyte,22
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint",Tritanium,949
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint","Synthetic Synapses",3
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint",Isogen,111
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint",Nocxium,56
"Mining Foreman Link - Laser Optimization I Blueprint",Megacyte,22
"Mining Foreman Link - Laser Optimization I Blueprint",Tritanium,949
"Mining Foreman Link - Laser Optimization I Blueprint","Synthetic Synapses",3
"Mining Foreman Link - Laser Optimization I Blueprint",Isogen,111
"Mining Foreman Link - Laser Optimization I Blueprint",Nocxium,56
"Praetor EV-900 Blueprint",Tritanium,8516
"Praetor EV-900 Blueprint",Mexallon,627
"Praetor EV-900 Blueprint",Isogen,9
"Praetor EV-900 Blueprint",Nocxium,2
"Praetor EV-900 Blueprint",Zydrine,8
"Praetor EV-900 Blueprint",Megacyte,4
"Ice Harvester Upgrade I Blueprint",Megacyte,2
"Ice Harvester Upgrade I Blueprint",Tritanium,676
"Ice Harvester Upgrade I Blueprint",Mexallon,318
"Ice Harvester Upgrade I Blueprint",Isogen,2
"Ice Harvester Upgrade I Blueprint",Zydrine,6
"Heavy Shield Maintenance Bot I Blueprint",Tritanium,10973
"Heavy Shield Maintenance Bot I Blueprint",Pyerite,830
"Heavy Shield Maintenance Bot I Blueprint",Mexallon,299
"Heavy Shield Maintenance Bot I Blueprint",Isogen,450
"Heavy Shield Maintenance Bot I Blueprint",Nocxium,30
"Warp Disrupt Probe Blueprint",Tritanium,6
"Warp Disrupt Probe Blueprint",Pyerite,17
"Warp Disrupt Probe Blueprint",Mexallon,22
"Warp Disrupt Probe Blueprint",Isogen,1
"Warp Disrupt Probe Blueprint",Nocxium,1
"Warp Disrupt Probe Blueprint",Megacyte,2
"Warp Disrupt Probe Blueprint","Strontium Clathrates",56
"Interdiction Sphere Launcher I Blueprint",Tritanium,12011
"Interdiction Sphere Launcher I Blueprint",Pyerite,9764
"Interdiction Sphere Launcher I Blueprint",Mexallon,2863
"Interdiction Sphere Launcher I Blueprint",Isogen,1097
"Interdiction Sphere Launcher I Blueprint",Nocxium,553
"Interdiction Sphere Launcher I Blueprint",Zydrine,378
"Interdiction Sphere Launcher I Blueprint",Megacyte,228
"Hel Blueprint","Capital Propulsion Engine",50
"Hel Blueprint","Capital Sensor Cluster",40
"Hel Blueprint","Capital Armor Plates",50
"Hel Blueprint","Capital Capacitor Battery",150
"Hel Blueprint","Capital Power Generator",50
"Hel Blueprint","Capital Shield Emitter",100
"Hel Blueprint","Capital Jump Drive",100
"Hel Blueprint","Capital Drone Bay",250
"Hel Blueprint","Capital Computer System",10
"Hel Blueprint","Capital Construction Parts",50
"Hel Blueprint","Capital Ship Maintenance Bay",100
"Hel Blueprint","Capital Corporate Hangar Bay",50
"Hel Blueprint","G-O Trigger Neurolink Conduit",250
"Hel Blueprint","Ladar-FTL Interlink Communicator",250
"Hel Blueprint","Auto-Integrity Preservation Seal",5000
"Hel Blueprint","Life Support Backup Unit",2500
"Hel Blueprint","Capital Core Temperature Regulator",15
"Hel Blueprint","Enhanced Neurolink Protection Cell",1
"'Aura' Warp Core Stabilizer I Blueprint","Yan Jung Semiotic Theory",1
"'Aura' Warp Core Stabilizer I Blueprint","Yan Jung Void Machine",1
"'Aura' Warp Core Stabilizer I Blueprint",Tritanium,566
"'Aura' Warp Core Stabilizer I Blueprint",Pyerite,504
"'Aura' Warp Core Stabilizer I Blueprint",Mexallon,186
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Info Matrix",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Vellum Etch",1
"'Natura' Warp Core Stabilizer I Blueprint",Tritanium,566
"'Natura' Warp Core Stabilizer I Blueprint",Pyerite,504
"'Natura' Warp Core Stabilizer I Blueprint",Mexallon,186
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Silk Armor",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Nano Fabric",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Null Shell",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Plenary Wire",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Singularity Fact Sheet",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Glass Scale",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Semiotic Theory",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Trigonometric Laws",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Crystal Cylinder",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Paradox Box",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Thunder Kite",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Void Machine",1
"'Natura' Warp Core Stabilizer I Blueprint","Yan Jung Tachyon Stetoscope",1
"'Pilfer' Multispectrum Energized Membrane Blueprint","Yan Jung Vellum Etch",2
"'Pilfer' Multispectrum Energized Membrane Blueprint",Tritanium,6013
"'Pilfer' Multispectrum Energized Membrane Blueprint",Pyerite,4514
"'Pilfer' Multispectrum Energized Membrane Blueprint",Mexallon,1612
"'Pilfer' Multispectrum Energized Membrane Blueprint",Zydrine,2
"'Pilfer' Multispectrum Energized Membrane Blueprint",Megacyte,2
"'Pilfer' Multispectrum Energized Membrane Blueprint","Yan Jung Singularity Fact Sheet",1
"'Pilfer' Multispectrum Energized Membrane Blueprint","Yan Jung Glass Scale",3
"'Pilfer' Multispectrum Energized Membrane Blueprint","Yan Jung Paradox Box",2
"'Moonshine' Thermal Energized Membrane Blueprint","Yan Jung Vellum Etch",1
"'Moonshine' Thermal Energized Membrane Blueprint",Tritanium,10178
"'Moonshine' Thermal Energized Membrane Blueprint",Pyerite,6494
"'Moonshine' Thermal Energized Membrane Blueprint",Mexallon,7
"'Moonshine' Thermal Energized Membrane Blueprint",Nocxium,3
"'Moonshine' Thermal Energized Membrane Blueprint",Megacyte,2
"'Moonshine' Thermal Energized Membrane Blueprint","Yan Jung Glass Scale",3
"'Moonshine' Thermal Energized Membrane Blueprint","Yan Jung Paradox Box",1
"'Mafia' Kinetic Energized Membrane Blueprint","Yan Jung Vellum Etch",1
"'Mafia' Kinetic Energized Membrane Blueprint",Tritanium,10178
"'Mafia' Kinetic Energized Membrane Blueprint",Pyerite,6494
"'Mafia' Kinetic Energized Membrane Blueprint",Mexallon,7
"'Mafia' Kinetic Energized Membrane Blueprint",Nocxium,3
"'Mafia' Kinetic Energized Membrane Blueprint",Megacyte,2
"'Mafia' Kinetic Energized Membrane Blueprint","Yan Jung Glass Scale",3
"'Mafia' Kinetic Energized Membrane Blueprint","Yan Jung Paradox Box",1
"'Harmony' Small Armor Repairer I Blueprint","Yan Jung Info Matrix",1
"'Harmony' Small Armor Repairer I Blueprint",Tritanium,858
"'Harmony' Small Armor Repairer I Blueprint",Pyerite,288
"'Harmony' Small Armor Repairer I Blueprint",Megacyte,4
"'Harmony' Small Armor Repairer I Blueprint","Yan Jung Null Shell",1
"'Harmony' Small Armor Repairer I Blueprint","Yan Jung Semiotic Theory",1
"'Harmony' Small Armor Repairer I Blueprint","Yan Jung Crystal Cylinder",1
"'Meditation' Medium Armor Repairer I Blueprint",Tritanium,2271
"'Meditation' Medium Armor Repairer I Blueprint",Pyerite,1063
"'Meditation' Medium Armor Repairer I Blueprint",Mexallon,906
"'Meditation' Medium Armor Repairer I Blueprint",Isogen,1
"'Meditation' Medium Armor Repairer I Blueprint",Nocxium,4
"'Meditation' Medium Armor Repairer I Blueprint","Yan Jung Null Shell",1
"'Meditation' Medium Armor Repairer I Blueprint","Yan Jung Trigonometric Laws",1
"'Meditation' Medium Armor Repairer I Blueprint","Yan Jung Crystal Cylinder",1
"'Meditation' Medium Armor Repairer I Blueprint","Yan Jung Plenary Wire",1
"'Meditation' Medium Armor Repairer I Blueprint","Yan Jung Thunder Kite",1
"'Protest' Large Armor Repairer I Blueprint",Tritanium,4662
"'Protest' Large Armor Repairer I Blueprint",Pyerite,1857
"'Protest' Large Armor Repairer I Blueprint",Mexallon,1027
"'Protest' Large Armor Repairer I Blueprint",Isogen,44
"'Protest' Large Armor Repairer I Blueprint",Nocxium,51
"'Protest' Large Armor Repairer I Blueprint","Yan Jung Nano Fabric",1
"'Protest' Large Armor Repairer I Blueprint","Yan Jung Semiotic Theory",1
"'Protest' Large Armor Repairer I Blueprint","Yan Jung Singularity Fact Sheet",1
"'Protest' Large Armor Repairer I Blueprint","Yan Jung Tachyon Stetoscope",2
"'Shady' Sensor Booster Blueprint","Yan Jung Trigonometric Laws",2
"'Shady' Sensor Booster Blueprint",Tritanium,236
"'Shady' Sensor Booster Blueprint",Pyerite,3413
"'Shady' Sensor Booster Blueprint","Yan Jung Thunder Kite",2
"'Shady' Sensor Booster Blueprint","Yan Jung Glass Scale",2
"'Corporate' Light Electron Blaster I Blueprint",Tritanium,996
"'Corporate' Light Electron Blaster I Blueprint",Pyerite,300
"'Corporate' Light Electron Blaster I Blueprint",Zydrine,2
"'Corporate' Light Electron Blaster I Blueprint","Serpentis Plain Target Guider",2
"'Corporate' Light Electron Blaster I Blueprint","Current Amplifier",1
"'Dealer' Light Ion Blaster I Blueprint",Tritanium,1667
"'Dealer' Light Ion Blaster I Blueprint",Pyerite,144
"'Dealer' Light Ion Blaster I Blueprint",Mexallon,83
"'Dealer' Light Ion Blaster I Blueprint",Isogen,22
"'Dealer' Light Ion Blaster I Blueprint","Serpentis Plain Target Guider",3
"'Dealer' Light Ion Blaster I Blueprint","Current Amplifier",1
"'Slither' Heavy Electron Blaster I Blueprint",Tritanium,4453
"'Slither' Heavy Electron Blaster I Blueprint",Pyerite,1287
"'Slither' Heavy Electron Blaster I Blueprint",Mexallon,1199
"'Slither' Heavy Electron Blaster I Blueprint",Megacyte,2
"'Slither' Heavy Electron Blaster I Blueprint","Serpentis Plain Target Guider",2
"'Slither' Heavy Electron Blaster I Blueprint","Current Amplifier",3
"'Hooligan' Heavy Ion Blaster I Blueprint",Tritanium,4529
"'Hooligan' Heavy Ion Blaster I Blueprint",Pyerite,1643
"'Hooligan' Heavy Ion Blaster I Blueprint",Mexallon,2413
"'Hooligan' Heavy Ion Blaster I Blueprint",Nocxium,1
"'Hooligan' Heavy Ion Blaster I Blueprint","Serpentis Plain Target Guider",3
"'Hooligan' Heavy Ion Blaster I Blueprint","Serpentis Complex Target Guider",1
"'Hooligan' Heavy Ion Blaster I Blueprint","Heat Depressor",2
"'Hooligan' Heavy Ion Blaster I Blueprint","Internal Bulkhead",1
"'Hustler' Heavy Neutron Blaster I Blueprint",Tritanium,9089
"'Hustler' Heavy Neutron Blaster I Blueprint",Pyerite,2786
"'Hustler' Heavy Neutron Blaster I Blueprint",Mexallon,2827
"'Hustler' Heavy Neutron Blaster I Blueprint",Isogen,14
"'Hustler' Heavy Neutron Blaster I Blueprint",Nocxium,1
"'Hustler' Heavy Neutron Blaster I Blueprint","Serpentis Complex Target Guider",2
"'Hustler' Heavy Neutron Blaster I Blueprint","Heat Depressor",3
"'Swindler' Electron Blaster Cannon I Blueprint",Tritanium,45551
"'Swindler' Electron Blaster Cannon I Blueprint",Pyerite,12150
"'Swindler' Electron Blaster Cannon I Blueprint",Mexallon,6060
"'Swindler' Electron Blaster Cannon I Blueprint",Isogen,1596
"'Swindler' Electron Blaster Cannon I Blueprint",Nocxium,126
"'Swindler' Electron Blaster Cannon I Blueprint",Zydrine,16
"'Swindler' Electron Blaster Cannon I Blueprint","Serpentis Multi-tasking Processor",1
"'Swindler' Electron Blaster Cannon I Blueprint","Mainframe Bit",2
"'Felon' Ion Blaster Cannon I Blueprint",Tritanium,68307
"'Felon' Ion Blaster Cannon I Blueprint",Pyerite,17839
"'Felon' Ion Blaster Cannon I Blueprint",Mexallon,7197
"'Felon' Ion Blaster Cannon I Blueprint",Isogen,1951
"'Felon' Ion Blaster Cannon I Blueprint",Nocxium,234
"'Felon' Ion Blaster Cannon I Blueprint",Zydrine,12
"'Felon' Ion Blaster Cannon I Blueprint",Megacyte,26
"'Felon' Ion Blaster Cannon I Blueprint","Serpentis Complex Target Guider",2
"'Felon' Ion Blaster Cannon I Blueprint","Serpentis Multi-tasking Processor",2
"'Felon' Ion Blaster Cannon I Blueprint","Mainframe Bit",3
"'Underhand' Neutron Blaster Cannon I Blueprint",Tritanium,91067
"'Underhand' Neutron Blaster Cannon I Blueprint",Pyerite,23527
"'Underhand' Neutron Blaster Cannon I Blueprint",Mexallon,8613
"'Underhand' Neutron Blaster Cannon I Blueprint",Isogen,2294
"'Underhand' Neutron Blaster Cannon I Blueprint",Nocxium,324
"'Underhand' Neutron Blaster Cannon I Blueprint",Zydrine,18
"'Underhand' Neutron Blaster Cannon I Blueprint",Megacyte,52
"'Underhand' Neutron Blaster Cannon I Blueprint","Serpentis Multi-tasking Processor",3
"'Underhand' Neutron Blaster Cannon I Blueprint","Mainframe Bit",4
"'Monopoly' Magnetic Field Stabilizer Blueprint","Second-hand Parts",3
"'Monopoly' Magnetic Field Stabilizer Blueprint","Serpentis Basic Target Guider",4
"'Monopoly' Magnetic Field Stabilizer Blueprint","Internal Bulkhead",4
"'Monopoly' Magnetic Field Stabilizer Blueprint",Pyerite,1459
"'Monopoly' Magnetic Field Stabilizer Blueprint",Tritanium,8050
"'Wild' Miner I Blueprint","Yan Jung Vellum Etch",2
"'Wild' Miner I Blueprint",Tritanium,1324
"'Wild' Miner I Blueprint",Pyerite,481
"'Wild' Miner I Blueprint",Mexallon,119
"'Wild' Miner I Blueprint","Yan Jung Glass Scale",3
"'Wild' Miner I Blueprint","Yan Jung Crystal Cylinder",3
"'Wild' Miner I Blueprint","Yan Jung Paradox Box",3
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Paradox Box",1
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Silk Armor",1
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Vellum Etch",1
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Void Machine",2
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Glass Scale",2
"'Bootleg' Remote Sensor Booster Blueprint","Serpentis Basic Target Guider",2
"'Bootleg' Remote Sensor Booster Blueprint","Second-hand Parts",2
"'Bootleg' Remote Sensor Booster Blueprint","Internal Bulkhead",2
"'Bootleg' Remote Sensor Booster Blueprint","Yan Jung Semiotic Theory",2
"'Bootleg' Remote Sensor Booster Blueprint","Serpentis 3D Scanner Gamut",3
"'Bootleg' Remote Sensor Booster Blueprint",Mexallon,34
"'Bootleg' Remote Sensor Booster Blueprint",Pyerite,3998
"'Bootleg' Remote Sensor Booster Blueprint",Tritanium,5662
"'Marketeer' Tracking Computer Blueprint",Tritanium,949
"'Marketeer' Tracking Computer Blueprint",Megacyte,2
"'Marketeer' Tracking Computer Blueprint","Serpentis Basic Target Guider",2
"'Marketeer' Tracking Computer Blueprint","Serpentis 3D Scanner Gamut",2
"'Marketeer' Tracking Computer Blueprint","Second-hand Parts",2
"'Marketeer' Tracking Computer Blueprint","Internal Bulkhead",2
"'Marketeer' Tracking Computer Blueprint","Mainframe Bit",1
"'Distributor' Guidance Disruptor Blueprint","Second-hand Parts",1
"'Distributor' Guidance Disruptor Blueprint","Serpentis 3D Scanner Gamut",2
"'Distributor' Guidance Disruptor Blueprint",Isogen,3
"'Distributor' Guidance Disruptor Blueprint","Serpentis Basic Target Guider",3
"'Distributor' Guidance Disruptor Blueprint","Internal Bulkhead",3
"'Distributor' Guidance Disruptor Blueprint",Megacyte,4
"'Distributor' Guidance Disruptor Blueprint",Pyerite,154
"'Distributor' Guidance Disruptor Blueprint",Mexallon,370
"'Distributor' Guidance Disruptor Blueprint",Tritanium,716
"'Investor' Tracking Disruptor I Blueprint","Second-hand Parts",1
"'Investor' Tracking Disruptor I Blueprint","Serpentis 3D Scanner Gamut",2
"'Investor' Tracking Disruptor I Blueprint",Isogen,3
"'Investor' Tracking Disruptor I Blueprint","Serpentis Basic Target Guider",3
"'Investor' Tracking Disruptor I Blueprint","Internal Bulkhead",3
"'Investor' Tracking Disruptor I Blueprint",Megacyte,4
"'Investor' Tracking Disruptor I Blueprint",Pyerite,154
"'Investor' Tracking Disruptor I Blueprint",Mexallon,370
"'Investor' Tracking Disruptor I Blueprint",Tritanium,716
"'Enterprise' Remote Tracking Computer Blueprint","Serpentis 3D Scanner Gamut",1
"'Enterprise' Remote Tracking Computer Blueprint",Isogen,2
"'Enterprise' Remote Tracking Computer Blueprint","Serpentis Basic Target Guider",2
"'Enterprise' Remote Tracking Computer Blueprint","Second-hand Parts",2
"'Enterprise' Remote Tracking Computer Blueprint","Internal Bulkhead",2
"'Enterprise' Remote Tracking Computer Blueprint",Mexallon,3
"'Enterprise' Remote Tracking Computer Blueprint",Pyerite,3163
"'Enterprise' Remote Tracking Computer Blueprint",Tritanium,3814
"'Executive' Remote Sensor Dampener Blueprint",Tritanium,252
"'Executive' Remote Sensor Dampener Blueprint",Pyerite,766
"'Executive' Remote Sensor Dampener Blueprint",Mexallon,1053
"'Executive' Remote Sensor Dampener Blueprint",Isogen,119
"'Executive' Remote Sensor Dampener Blueprint","Serpentis Basic Target Guider",1
"'Executive' Remote Sensor Dampener Blueprint","Serpentis 3D Scanner Gamut",3
"'Executive' Remote Sensor Dampener Blueprint","Second-hand Parts",2
"'Executive' Remote Sensor Dampener Blueprint","Internal Bulkhead",2
"'Beatnik' Small Remote Armor Repairer Blueprint","Yan Jung Info Matrix",1
"'Beatnik' Small Remote Armor Repairer Blueprint","Yan Jung Null Shell",2
"'Beatnik' Small Remote Armor Repairer Blueprint",Pyerite,3
"'Beatnik' Small Remote Armor Repairer Blueprint",Mexallon,112
"'Beatnik' Small Remote Armor Repairer Blueprint",Isogen,1
"'Beatnik' Small Remote Armor Repairer Blueprint",Tritanium,896
"'Beatnik' Small Remote Armor Repairer Blueprint","Yan Jung Crystal Cylinder",2
"'Love' Medium Remote Armor Repairer Blueprint","Yan Jung Null Shell",1
"'Love' Medium Remote Armor Repairer Blueprint",Pyerite,924
"'Love' Medium Remote Armor Repairer Blueprint",Mexallon,108
"'Love' Medium Remote Armor Repairer Blueprint",Tritanium,1506
"'Love' Medium Remote Armor Repairer Blueprint","Yan Jung Trigonometric Laws",2
"'Love' Medium Remote Armor Repairer Blueprint","Yan Jung Crystal Cylinder",1
"'Love' Medium Remote Armor Repairer Blueprint","Yan Jung Plenary Wire",2
"'Love' Medium Remote Armor Repairer Blueprint","Yan Jung Thunder Kite",3
"'Cartel' Power Diagnostic System I Blueprint","Yan Jung Info Matrix",1
"'Cartel' Power Diagnostic System I Blueprint","Yan Jung Vellum Etch",1
"'Cartel' Power Diagnostic System I Blueprint","Yan Jung Null Shell",2
"'Cartel' Power Diagnostic System I Blueprint",Pyerite,658
"'Cartel' Power Diagnostic System I Blueprint",Mexallon,2
"'Cartel' Power Diagnostic System I Blueprint",Isogen,4
"'Cartel' Power Diagnostic System I Blueprint",Nocxium,1
"'Cartel' Power Diagnostic System I Blueprint",Zydrine,4
